2
# Numeric modifiers can now be expressions, enclosed in square brackets.
# No spaces are allowed within the expression, except as part of a zone/location name.
# + - * / ( ) have their usual mathematical meaning and precedence.
# ^ is exponentiation, with the highest precedence.
# Functions available:
#	ceil(x) floor(x) sqrt(x) min(x,y) max(x,y) abs(x)
# Location functions: loc(text) zone(text)
#	These have a value of 1 if the current adventure location or zone contains the
#	specified text, 0 elsewhere.
# Path function: path(text)
#	This has a value of 1 if the player's path matches the text.
# Familiar function: fam(text)
#	This has a value of 1 if the player's familiar type contains the text, else 0.
# Weapon function: mainhand(text)
#	This has a value of 1 if the player's mainhand weapon class (sword, club, etc.)
#	contains the text.
# Preferences function: pref(text)
# Effect function: effect(text)
#	This returns the number of turns remaining of the effect uniquely matching text.
# Resistance function: res(text)
#	This returns the number of resistance levels for the listed element
# Class function: class(text)
#	This has a value of 1 if the player's class matches the text.
# Skill function: skill(text)
#	This has a value of 1 if the player has the skill matching the text.
# There can be at most one of each text function in any single expression.
# Upper-case letters are varying values:
#	A - number of Ascensions
#	B - Blood of Wereseal effect
#	C - Clancy's level
#	D - Drunkenness
#	E - active (nonintrinsic) Effects
#	F - Fullness
#	G - Grimace darkness (0..5)
#	H - Hobo Power
#	I - Disco Momentum
#	J - 1 on Festival of Jarlsberg, 0 otherwise
#	K - Smithsness
#	L - player Level
#	M - total Moonlight (0..9)
#	N - AudieNce
#	P - Pasta Thrall level
#	R - Reagent potion duration
#	S - Spleenness
#	T - Turns remaining of this effect
#	U - telescope Upgrades
#	W - familiar Weight
#	X - gender (-1=male, 1=female)
#	Y - furY
#
# Items which "change with every new day":
#
# Tuesday's Ruby
#	Sunday		+5% Meat from Monsters
#	Monday		Muscle +5%
#	Tuesday		Regenerate 3-7 MP per adventure
#	Wednesday	+5% Mysticality
#	Thursday	+5% Item Drops from Monsters
#	Friday		+5% Moxie
#	Saturday	Regenerate 3-7 HP per adventure

# Hats section of modifiers.txt

miniature deck cannon	Ranged Damage: +25, HP Regen Min: 10, HP Regen Max: 20, MP Regen Min: 10, MP Regen Max: 20
# Mjolnir Jr.
Moonthril Flamberge	Muscle Percent: [15*G]
Moonthril Longbow	Moxie Percent: [15*G]
muculent machete	Muscle: +2, Meat Drop: +5
nasty-ass club	Weapon Damage: +25, Monster Level: +15, Stench Damage: +15, Class: "Seal Clubber"
ninja mop	Weapon Damage: +5
non-Euclidean non-accordion	Initiative: [15*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 15
# non-stick pugil stick: On Critical:  Stuns Opponent
non-stick pugil stick	Muscle Percent: +10, Weapon Damage Percent: +10
obsidian dagger	Spooky Damage: +3, Stench Damage: +3, Hot Damage: +3, Cold Damage: +3, Sleaze Damage: +3
ocarina of space	Muscle: +4, Mysticality: +4, Moxie: +4, Ranged Damage: +5, Experience: +2
octopus's spade	Item Drop: +5, Initiative: +10, Weapon Damage: +15
office-supply crossbow	Moxie: +3, Ranged Damage: +3
oil pan	Mysticality Percent: +10
Ol' Scratch's infernal pitchfork	Hot Damage: +40, Critical Hit Percent: +10
old dry bone	Spooky Damage: +50
old school Mafi<i>a kni</i>cke&frac12;&aelig;	Ranged Damage: +27
# origami riding crop: Makes you prone to innuendo (heh heh)
origami riding crop	Sleaze Damage: +10, Initiative: +15, Softcore Only
out-of-tune biwa	Ranged Damage: +2
oversized pizza cutter	Spell Damage: +13
pair of bolt cutters	Weakens Monster
palm-frond whip	Weapon Damage: +30
# papier-m&acirc;ch&eacute;te: Makes actions more exciting
papier-m&acirc;ch&eacute;te	Weapon Damage: +10, Muscle Percent: +15, Mysticality Percent: +15, Moxie Percent: +15
# papier-m&acirc;chine gun: Makes actions more exciting
papier-m&acirc;chine gun	Ranged Damage: +10, Muscle Percent: +15, Mysticality Percent: +15, Moxie Percent: +15
parasitic claw	Weapon Damage: [min(L,15)]
Pasta of Peril	Mysticality: +7, Initiative: +15, Class: "Pastamancer"
# pasta spoon
peace accordion	Stench Damage: [12*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 19
penguin whip	Meat Drop: +3
pentatonic accordion	Cold Damage: [9*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 12
perforated battle paddle	Weapon Damage: +10
Periodical Paintbrush	Muscle Percent: [+5*G], Mysticality Percent: [+5*G], Moxie Percent: [+5*G], Softcore Only
pernicious cudgel	Sleaze Damage: +30, Critical Hit Percent: +10, Slime Hates It: +1
pestoblade	Muscle: +3, Stench Damage: +3
pewter claymore	HP Regen Min: 6, HP Regen Max: 12, MP Regen Min: 6, MP Regen Max: 12
# Pigsticker of Violence: Lets you stab opponents as they fail to attack you
Pigsticker of Violence	HP Regen Min: 20, HP Regen Max: 30, Critical Hit Percent: +10, Weapon Damage Percent: +60
pipe wrench	Weapon Damage: +8
pitchfork	Weapon Damage: +7
pixel boomerang	Item Drop: +5
pixel chain whip	Muscle: +4, Mysticality: +4, Moxie: +4
pixel morning star	Muscle: +5, Mysticality: +5, Moxie: +5
pixel sword	Initiative: +15
pixel whip	Muscle: +3, Mysticality: +3, Moxie: +3
plastic guitar	Moxie: +5, Initiative: +15
plastic nunchaku	Spooky Damage: +3, Stench Damage: +3, Hot Damage: +3, Cold Damage: +3, Sleaze Damage: +3, Initiative: +30
plastic replica blaster pistol	Initiative: +20, Ranged Damage: +20, Lasts Until Rollover
plexiglass pikestaff	Weapon Damage: +25, PvP Fights: +9, Muscle Percent: +30
pocket theremin	Spooky Damage: +7
pointed stick	Critical Hit Percent: +5, Weapon Damage: +10
# poison pen: 75% chance of poisoning opponent.
pool cue	Moxie: +5, Pool Skill: +3
# portable cassette player: Has An Obnoxious Mix Tape Stuck In It
portable corkscrew	Weapon Damage: +3, Spell Damage: +3
potato pistol	Moxie: +5, Sleaze Damage: +5
pottery club	Hot Damage: +5
pottery yo-yo	Hot Damage: +5
poutine pole	Mysticality: +3, Sleaze Damage: +3
prehistoric spear	Critical Hit Percent: +5
projectile icemaker	Moxie: +7, Spell Damage: +7, Cold Damage: +5
PVC staff	Mysticality Percent: +15, Item Drop: +10, Cold Spell Damage: +60
pygmy concertinette	Weapon Damage: [10*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 17
pygmy spear	Muscle: +7
# quantum disintegrator pistol: +15% Damage vs. Bugbears
quirky accordion	Monster Level: [5*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 10
Radio Free Foil	Muscle: +20
Rain-Doh violet bo	Sleaze Damage: +11, Moxie: +11, Softcore Only
# Rain-Doh yellow laser gun: Super Accurate!
Rain-Doh yellow laser gun	Weakens Monster, Softcore Only
rainbow crossbow	Spooky Damage: +5, Stench Damage: +5, Hot Damage: +5, Cold Damage: +5, Sleaze Damage: +5
ram stick	Moxie: +5
ram-battering staff	Hot Spell Damage: +10, Moxie: +5
ratarang	Ranged Damage: +7, Moxie: +3
rattail whip	Moxie: +5, Monster Level: +5
rave whistle	Maximum HP: +10, Monster Level: +10, Raveosity: +1
red hot poker	Hot Damage: +15
# Red Rover BB gun: You'll Put Your Eye Out!
Red Rover BB gun	Critical Hit Percent: +15
regret hose	Cold Damage: +10
# remorseless knife: Successful hit causes bleeding.
repeating crossbow	Moxie: +2, Critical Hit Percent: +15
rib of the Bonerdagon	Muscle: +5, Mysticality: +5, Spell Damage: +15
ridiculously huge sword	Weapon Damage: +12, Muscle: +4
ridiculously overelaborate ninja weapon	Critical Hit Percent: +15, Fumble: 3
# right bear arm: Lets you act like a bear
right bear arm	Muscle Percent: +10, Weapon Damage Percent: +30
roboduck-on-a-string	Weapon Damage: +5, Item Drop: +5
Rock and Roll Legend	Moxie: [7*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 10
rubber axe	Sleaze Damage: +2
rubber band gun	Moxie: +5
# Ruby Rod
rusted-out shootin' iron	Meat Drop: +10, Ranged Damage: +50, Combat Rate: -5
rusty grave robbing shovel	Spooky Damage: +5, Initiative: -10
rusty piece of rebar	Weapon Damage: +25, Critical Hit Percent: +7
# rusty speargun: On Critical:  Deals 50-60 additional damage
rusty speargun	Weapon Damage: +25, Critical Hit Percent: +7
rusty staff	Spell Damage: +25, Spell Critical Percent: +5
sabre teeth	Weapon Damage: +4
# sack of doorknobs
Saturday Night Special	Hot Resistance: +2
# saucepan
# Saucepanic: (+% to Mysticality Based on Smithsness)
# Saucepanic: Lets you gather more Soulsauce
Saucepanic	Experience (Mysticality): +2, Smithsness: +5, Class: "Sauceror", Mysticality Percent: [2*K]
savory crossbow	Moxie: +4
savory staff	Mysticality: +4
savory sword	Muscle: +4
# scorpion whip: 50% chance of poisoning opponent.
scorpion whip	Weapon Damage: +13
scratch 'n' sniff crossbow	none
scratch 'n' sniff sword	none
# seal-clubbing club
sealhide whip	Cold Damage: +25
# Seeger's Unstoppable Banjo: Special Attack:  Funk Bluegrass Fusion
Seeger's Unstoppable Banjo	Moxie: +15, Meat Drop: +23, DB Combat Damage: +15, Class: "Disco Bandit"
serpentine sword	Monster Level: +10, Synergetic
severed flipper	Muscle: +5, Weapon Damage: +5, Class: "Seal Clubber"
Shagadelic Disco Banjo	Moxie: +11, Meat Drop: +10, DB Combat Damage: +7, Class: "Disco Bandit"
# Shakespeare's Sister's Accordion: (+% to Moxie Based on Smithsness)
# Shakespeare's Sister's Accordion: Has a cool Cadenza
Shakespeare's Sister's Accordion	Mana Cost: [-1*(1+skill(Accordion Appreciation))], Smithsness: [5*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 15, Moxie Percent: [2*K]
# sharpened spoon
# Sheila Take a Crossbow: (+Initiative based on Smithsness)
Sheila Take a Crossbow	HP Regen Min: 1, HP Regen Max: 2, MP Regen Min: 1, MP Regen Max: 2, Pickpocket Chance: +5, Smithsness: +5, Initiative: [K]
shiny butcherknife	Spell Damage: +8
short-handled mop	Stench Damage: +10, Sleaze Damage: +10
shuddersword	Muscle: +7, Spell Damage: +7, Spooky Damage: +5
silent pea shooter	Sleaze Damage: +10, Monster Level: +5
silver cheese-slicer	Spell Damage Percent: +10
silver pat&eacute; knife	Spell Critical Percent: +5
silver shrimp fork	Spell Damage: +14, Weapon Damage: +5
skate blade	Moxie Percent: +5, Weakens Monster
skate board	Muscle Percent: +10, Mysticality Percent: +10, Moxie Percent: +10, Damage Reduction: 10
skeleton bone	Spooky Damage: +1
Skipper's accordion	Pickpocket Chance: [10*(1+skill(Accordion Appreciation))], Moxie Percent: [15*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 10
# sleazy bindle: On Critical: Deals 70-100 <font color=blueviolet>Sleaze Damage</font>
sleazy bindle	Item Drop: +10, Sleaze Damage: +25
# Sledgehammer of the V&aelig;lkyr: +20% Physical Damage (currently approximated with Weapon Damage)
# Sledgehammer of the V&aelig;lkyr: Special Attack:  Bashing Slam Smash
Sledgehammer of the V&aelig;lkyr	Muscle: +23, Critical Hit Percent: +10, Class: "Seal Clubber", Weapon Damage Percent: +20
slide rule	Mysticality Percent: +5, Initiative: +10
# slightly peevedbow
# slime-covered club: +50 Damage against Slimes
slime-covered club	Weapon Damage: [50*zone(The Slime Tube)+25], Critical Hit Percent: +7
# slime-covered shovel: +100 Damage against Slimes
slime-covered shovel	Weapon Damage: [100*zone(The Slime Tube)+60], Initiative: -10
# slime-covered speargun: +50 Damage against Slimes
slime-covered speargun	Weapon Damage: [50*zone(The Slime Tube)+25], Critical Hit Percent: +7
# slime-covered staff: All Spells Cast Are Sleazy
slime-covered staff	Spell Damage: +60, Initiative: -10
# slingshot
smoldering staff	Mysticality: +7, Moxie: +5, Stench Spell Damage: +11
Sneaky Pete's basket	Moxie: +5, Initiative: +10, Item Drop: +10
snow shovel	Muscle: +10, Mysticality: +10, Moxie: +10, Weapon Damage Percent: +100, Lasts Until Rollover
# soap knife
# soul knife: Can harm True Mimes
soup-chucks	Hot Damage: +2
soylent staff	Mysticality: +4, Spell Damage: +10
space beast fur whip	Damage Reduction: 5
space heater	Hot Damage: +12, Cold Resistance: +2
space needle	Weapon Damage: +10, Spooky Resistance: +2
# Space Tourist Phaser: This Phaser is set to Fun
# spectral axe: +30 Damage vs. Ghosts
spectral axe	Cold Damage: +15
spiked femur	Spooky Damage: +6
Spirit Precipice	Muscle: +7, Mysticality: +5, Critical Hit Percent: +20
spooky bicycle chain	Spooky Damage: +5, Critical Hit Percent: +5
# spooky bindle: On Critical: Deals 70-100 <font color=gray>Spooky Damage</font>
spooky bindle	Item Drop: +10, Spooky Damage: +25
Spooky Putty ball	Spooky Damage: +10, Softcore Only
Spooky Putty snake	Spell Damage Percent: +50, Spooky Spell Damage: +20, MP Regen Min: 6, MP Regen Max: 8, Softcore Only
spooky staff	Mysticality: +2, Spooky Damage: +2
spooky stick	Spooky Damage: +2
spork	Muscle: +2
squeaky staff	Mysticality: +3, Monster Level: +6
Squeezebox of the Ages	Moxie: [11*(1+skill(Accordion Appreciation))], Ranged Damage: [15*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 15
Staff of Blood and Pudding	Spell Damage Percent: +25, Maximum HP: +15, MP Regen Min: 2, MP Regen Max: 3
Staff of Fats	Pool Skill: +5
Staff of Fruit Salad	Spell Damage: +10, Moxie: +10, MP Regen Min: 2, MP Regen Max: 3, Jiggle: "Deal Some Prismatic Damage"
Staff of Holiday Sensations	Spell Damage Percent: +75, Cold Spell Damage: +15, MP Regen Min: 5, MP Regen Max: 6
Staff of Queso Escusado	Spell Damage Percent: +50, Stench Spell Damage: +20, MP Regen Min: 6, MP Regen Max: 8, Softcore Only
Staff of Simmering Hatred	MP Regen Min: 20, MP Regen Max: 30, Reduce Enemy Defense: 10, Spell Damage Percent: +200
# Staff of the All-Steak: (5 charges left today)
Staff of the All-Steak	Spell Damage Percent: +50, Damage Reduction: 15, MP Regen Min: 5, MP Regen Max: 6, Jiggle: "Massive Bonus to Item Drops"
Staff of the Black Kettle	Spell Damage Percent: +75, Mysticality: +10, MP Regen Min: 5, MP Regen Max: 6
# Staff of the Cozy Fish: Makes you a much better diver
Staff of the Cozy Fish	Mysticality Percent: +15, Spell Damage Percent: +150, Initiative Penalty: [30*(zone(The Sea)+loc(The Sunken Party Yacht))], Item Drop Penalty: [30*(zone(The Sea)+loc(The Sunken Party Yacht))], Meat Drop Penalty: [30*(zone(The Sea)+loc(The Sunken Party Yacht))]
# Staff of the Cream of the Cream: (5 charges left today)
Staff of the Cream of the Cream	Spell Damage Percent: +50, Moxie: +30, MP Regen Min: 5, MP Regen Max: 6, Jiggle: "Attune to Monster's Essence"
Staff of the Deepest Freeze	Spell Damage Percent: +200, Cold Spell Damage: +30, MP Regen Min: 20, MP Regen Max: 30
Staff of the Electric Range	Spell Damage Percent: +50, Spooky Spell Damage: +20, MP Regen Min: 8, MP Regen Max: 10
Staff of the Grand Flamb&eacute;	Spell Damage Percent: +150, Cold Resistance: +5, MP Regen Min: 8, MP Regen Max: 10
Staff of the Grease Trap	Spell Damage Percent: +150, Sleaze Spell Damage: +20, MP Regen Min: 8, MP Regen Max: 10
Staff of the Greasefire	Spell Damage Percent: +35, Hot Spell Damage: +10, Sleaze Spell Damage: +10, MP Regen Min: 3, MP Regen Max: 4
# Staff of the Headmaster's Victuals: (+Spell Damage based on Smithsness)
Staff of the Headmaster's Victuals	MP Regen Min: 2, MP Regen Max: 3, Sleaze Spell Damage: +5, Smithsness: +5, Spell Damage: [2*K]
Staff of the Healthy Breakfast	Spell Damage: +10, Maximum HP: +15, Item Drop: +10, MP Regen Min: 2, MP Regen Max: 4, Jiggle: "Recover Some HP"
Staff of the Hearty Dinner	Spell Damage: +10, Damage Reduction: 5, MP Regen Min: 2, MP Regen Max: 3, Jiggle: "Weaken Bad Guy"
Staff of the Kitchen Floor	Spell Damage Percent: +150, Stench Spell Damage: +20, MP Regen Min: 8, MP Regen Max: 10
Staff of the Light Lunch	Spell Damage: +10, Initiative: +15, MP Regen Min: 2, MP Regen Max: 3, Jiggle: "Deal Some Cold Damage"
Staff of the Lunch Lady	Spell Damage Percent: +75, Maximum HP: +15, Maximum MP: +15, MP Regen Min: 5, MP Regen Max: 6, Food Drop: +25
Staff of the Midnight Snack	Spell Damage Percent: +20, Spooky Spell Damage: +10, MP Regen Min: 2, MP Regen Max: 3
Staff of the November Jack-O-Lantern	Spell Damage Percent: +20, Stench Spell Damage: +10, MP Regen Min: 2, MP Regen Max: 3
Staff of the Roaring Hearth	Spell Damage Percent: +250, Hot Spell Damage: +40, MP Regen Min: 30, MP Regen Max: 35
Staff of the Scummy Sink	Spell Damage Percent: +150, Sleaze Spell Damage: +20, HP Regen Min: 8, HP Regen Max: 10, Slime Hates It: +1
Staff of the Short Order Cook	Spell Damage Percent: +20, Mysticality: +5, MP Regen Min: 2, MP Regen Max: 3
Staff of the Soupbone	Spell Damage Percent: +75, Maximum MP: +15, MP Regen Min: 5, MP Regen Max: 6
# Staff of the Staff of Life: (5 charges left today)
Staff of the Staff of Life	Spell Damage Percent: +50, Maximum HP: +30, MP Regen Min: 5, MP Regen Max: 6, HP Regen Min: 10, HP Regen Max: 12, Jiggle: "Full HP Recovery"
# Staff of the Standalone Cheese: (5 charges left today)
Staff of the Standalone Cheese	Spell Damage Percent: +50, Initiative: +30, MP Regen Min: 5, MP Regen Max: 6, Jiggle: "Banish opponent for the rest of the day"
Staff of the Teapot Tempest	Spell Damage Percent: +25, Mysticality: +5, MP Regen Min: 3, MP Regen Max: 4
Staff of the Walk-In Freezer	Spell Damage Percent: +150, Cold Spell Damage: +20, MP Regen Min: 8, MP Regen Max: 10
Staff of the Well-Tempered Cauldron	Spell Damage Percent: +125, Mysticality: +15, MP Regen Min: 7, MP Regen Max: 8
Staff of the Woodfire	Experience (Mysticality): +10, Spell Damage Percent: +100, MP Regen Min: 5, MP Regen Max: 15
stainless steel shillelagh	Weapon Damage: +20, Critical Hit Percent: +10, Muscle Percent: +15
staph of homophones	Mysticality: +7, Adventures: +5
star boomerang	Moxie: +5
star crossbow	Moxie: +8
star spatula	Spell Damage: +18
star staff	Mysticality: +8
star stiletto	Muscle: +5
star sword	Muscle: +8
starchy crossbow	Moxie: +3
starchy staff	Mysticality: +3
starchy sword	Muscle: +3
steel sword	Weapon Damage: +15, HP Regen Min: 2, HP Regen Max: 4, Moxie: +5
Stick-Knife of Loathing	Weapon Damage Percent: +100, Spell Damage Percent: +200, Cold Resistance: +5, Cloathing
sticky hand whip	Item Drop: +5, Pickpocket Chance: +10, Meat Drop: +15
# stinkin' bindle: On Critical: Deals 70-100 <font color=green>Stench Damage</font>
stinkin' bindle	Item Drop: +10, Stench Damage: +25
stinky cheese sword	Stench Damage: [max(1,min(33,floor(pref(_stinkyCheeseCount)/3)))], Softcore Only
stolen accordion	Song Duration: 5
stone banjo	Moxie: +1
# stuffed club
# stuffed crazy bastard sword
styrofoam crossbow	Moxie: +3, Monster Level: +3
styrofoam staff	Mysticality: +3, Monster Level: +3
styrofoam sword	Muscle: +3, Monster Level: +3
sucker tachi	Weapon Damage: +10
# suede shortsword
# sugar shank: On Critical:  Cause Opponent to Bleed
sugar shank	Weapon Damage Percent: +50
sugar shillelagh	Weapon Damage Percent: +50
# sugar shotgun: On Critical:  Stuns Opponent
sugar shotgun	Weapon Damage Percent: +50
Super Crimboman Ultra Mega Hypersword	Spooky Damage: +5, Stench Damage: +5, Hot Damage: +5, Cold Damage: +5, Sleaze Damage: +5
Super Magic Power Sword X	Muscle: +4, Initiative: +20, Critical Hit Percent: +5
super-sweet boom box	Muscle Percent: +20, Mysticality Percent: +20, Moxie Percent: +20, HP Regen Min: 5, HP Regen Max: 10, MP Regen Min: 5, MP Regen Max: 10, Four Songs
# sweet ninja sword
sword behind inappropriate prepositions	Muscle: +7, Adventures: +5
Sword of Dark Omens	Spooky Damage: +3, Stench Damage: +3, Hot Damage: +3, Cold Damage: +3, Sleaze Damage: +3, Spell Damage Percent: +50, Muscle Percent: +5, Mysticality Percent: +5, Moxie Percent: +5
# Sword of Procedural Generation: Randomized per player
sword of static	Muscle: +3, Moxie: +2, MP Regen Min: 2, MP Regen Max: 3
swordzall	Weapon Damage: +8, Maximum MP: +10
tail o' nine cats	Initiative: +15, Monster Level: +5
# Tales of the Word Realms: Lends Power to Your Words
tambourine	Maximum HP: +20, Maximum MP: +20
teflon spatula	Mysticality Percent: +10, Sleaze Resistance: +3, Spell Damage: +40
The Landscaper's leafblower	Monster Level: [pref(_leafblowerML)]
The Necbromancer's Wizard Staff	Spell Damage Percent: +200, Sleaze Spell Damage: +30, MP Regen Min: 20, MP Regen Max: 30
The Nuge's favorite crossbow	Ranged Damage: +30, Initiative: +100, Adventures: +5
# The Trickster's Trikitixa: Special Attack:  Extreme High Note
The Trickster's Trikitixa	Moxie: [15*(1+skill(Accordion Appreciation))], Ranged Damage: [23*(1+skill(Accordion Appreciation))], Item Drop: [11*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 20
third-hand nunchaku	Weapon Damage: +3
# Thor's Pliers: Lets You Smith and Make Jewelry Faster
# Thor's Pliers: Allows You to Ply Reality
# Thor's Pliers: Regenerates Lightning Power (in Heavy Rains only)
Thor's Pliers	Experience: +4, MP Regen Min: 6, MP Regen Max: 9, Pickpocket Chance: +20, Attacks Can't Miss, Single Equip
throwing wrench	Weakens Monster
time sword	Adventures: +3
tin drum	Moxie Percent: +10, Spooky Damage: +3, Stench Damage: +3, Hot Damage: +3, Cold Damage: +3, Sleaze Damage: +3, Experience (Moxie): +1
tin foil	Muscle Percent: +10, Weapon Damage Percent: +10, Experience (Muscle): +1
tiny ninja sword	Moxie: +1
tiny plastic sword	Moxie: +1
titanium assault umbrella	Spooky Resistance: +1, Stench Resistance: +1, Hot Resistance: +1, Cold Resistance: +1, Sleaze Resistance: +1
tommy gun	Weapon Damage: +5
# Totally Gay Claymore
toy accordion	Song Duration: 5
toy ray gun	Hot Damage: +5, Critical Hit Percent: +5
# toy taijijian
Tropical Crimbo Sword	Weapon Damage: +5
# trout fang: 25% chance of poisoning opponent.
trout fang	Weapon Damage: +15
Trusty	Muscle: +5
trusty torch	Hot Damage: +3
Truthsayer	Monster Level: +12, Weapon Damage Percent: +40
# turtle totem
# twisted-up wet towel: +25% Item Drops from Monsters (KoL High School zones only)
twisted-up wet towel	Item Drop: [+25*zone(KOL High School)]
# two-handed depthsword
ultimate ultimate frisbee	Moxie: +2, Ranged Damage: +4
Uncle Hobo's highest bough	Muscle Percent: +15, HP Regen Min: 15, HP Regen Max: 30, MP Regen Min: 15, MP Regen Max: 30
Underworld flail	Experience (Moxie): +10, Ranged Damage: +30, Moxie Percent: +10
Underworld truncheon	Experience (Muscle): +10, Weapon Damage Percent: +20, Muscle Percent: +10
Unionize The Elves sign	Weakens Monster
Unkillable Skeleton's restless leg	Weapon Damage: +40, MP Regen Min: 20, MP Regen Max: 30
# Unkillable Skeleton's sawsword: +100% Damage vs. Skeletons
# Unkillable Skeleton's sawsword: +50% Damage vs. Zombies
# Unkillable Skeleton's sawsword: +50% Damage vs. Vampires
# Unkillable Skeleton's sawsword: +50% Damage vs. Werewolves
# Unkillable Skeleton's sawsword: +50 Damage vs. Ghosts
# Unkillable Skeleton's sawsword: +50% Damage vs. Bugbears
unsanitized scalpel	Sleaze Damage: +25
vampire duck-on-a-string	Weapon Damage: +5, Item Drop: +5
velcro broadsword	Muscle Percent: +5, MP Regen Min: 6, MP Regen Max: 12, Hat Drop: +20, Pants Drop: +20
velcro paddle ball	Moxie Percent: +5, MP Regen Min: 6, MP Regen Max: 12, Accessory Drop: +20
vibrating cyborg knife	Weapon Damage: +20, Fumble: 3
villainous scythe	Weapon Damage Percent: +30, Critical Hit Percent: +20, Slime Hates It: +2
